date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles
2022-02-25,2,10,7,80,516,49,4,100,60,0,2,0,,,,,
2022-02-26,3,27,26,146,706,49,4,130,60,2,2,0,,,,,
2022-02-27,4,27,26,150,706,50,4,130,60,2,2,0,,,,,
2022-02-28,5,29,29,150,816,74,21,291,60,3,2,5,,,,,
2022-03-01,6,29,29,198,846,77,24,305,60,3,2,7,,,,,
2022-03-02,7,30,31,211,862,85,40,355,60,3,2,9,,,,,
2022-03-03,8,30,31,217,900,90,42,374,60,3,2,11,,,,,
2022-03-04,9,33,37,251,939,105,50,404,60,3,2,18,,,,,
2022-03-05,10,39,40,269,945,105,50,409,60,3,2,19,,,,,
2022-03-06,11,44,48,285,985,109,50,447,60,4,2,21,,,,,
2022-03-07,12,46,68,290,999,117,50,454,60,7,3,23,,,,,
